,G,Date,Start (ET),Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,teamgame,season
0,1,"Tue, Oct 27, 2015",8:00p,Box Score,,Detroit Pistons,L,,94,106,0,1,L 1,ATL,2016
1,2,"Thu, Oct 29, 2015",8:00p,Box Score,@,New York Knicks,W,,112,101,1,1,W 1,ATL,2016
2,3,"Fri, Oct 30, 2015",8:00p,Box Score,,Charlotte Hornets,W,,97,94,2,1,W 2,ATL,2016
3,4,"Sun, Nov 1, 2015",2:00p,Box Score,@,Charlotte Hornets,W,,94,92,3,1,W 3,ATL,2016
4,5,"Tue, Nov 3, 2015",7:30p,Box Score,@,Miami Heat,W,,98,92,4,1,W 4,ATL,2016
5,6,"Wed, Nov 4, 2015",8:00p,Box Score,,Brooklyn Nets,W,,101,87,5,1,W 5,ATL,2016
6,7,"Fri, Nov 6, 2015",8:00p,Box Score,@,New Orleans Pelicans,W,,121,115,6,1,W 6,ATL,2016
7,8,"Sat, Nov 7, 2015",7:30p,Box Score,,Washington Wizards,W,,114,99,7,1,W 7,ATL,2016
8,9,"Mon, Nov 9, 2015",8:00p,Box Score,,Minnesota Timberwolves,L,,107,117,7,2,L 1,ATL,2016
9,10,"Wed, Nov 11, 2015",8:00p,Box Score,,New Orleans Pelicans,W,,106,98,8,2,W 1,ATL,2016
10,11,"Fri, Nov 13, 2015",7:30p,Box Score,@,Boston Celtics,L,,93,106,8,3,L 1,ATL,2016
11,12,"Sun, Nov 15, 2015",6:00p,Box Score,,Utah Jazz,L,,96,97,8,4,L 2,ATL,2016
12,13,"Tue, Nov 17, 2015",7:30p,Box Score,@,Brooklyn Nets,L,,88,90,8,5,L 3,ATL,2016
13,14,"Wed, Nov 18, 2015",8:00p,Box Score,,Sacramento Kings,W,,103,97,9,5,W 1,ATL,2016
14,15,"Sat, Nov 21, 2015",7:30p,Box Score,@,Cleveland Cavaliers,L,,97,109,9,6,L 1,ATL,2016
15,16,"Tue, Nov 24, 2015",8:00p,Box Score,,Boston Celtics,W,,121,97,10,6,W 1,ATL,2016
16,17,"Wed, Nov 25, 2015",8:00p,Box Score,@,Minnesota Timberwolves,L,,95,99,10,7,L 1,ATL,2016
17,18,"Fri, Nov 27, 2015",8:00p,Box Score,@,Memphis Grizzlies,W,,116,101,11,7,W 1,ATL,2016
18,19,"Sat, Nov 28, 2015",8:30p,Box Score,@,San Antonio Spurs,L,,88,108,11,8,L 1,ATL,2016
19,20,"Mon, Nov 30, 2015",8:00p,Box Score,,Oklahoma City Thunder,W,,106,100,12,8,W 1,ATL,2016
20,21,"Wed, Dec 2, 2015",8:00p,Box Score,,Toronto Raptors,L,,86,96,12,9,L 1,ATL,2016
21,22,"Fri, Dec 4, 2015",8:00p,Box Score,,Los Angeles Lakers,W,,100,87,13,9,W 1,ATL,2016
22,23,"Wed, Dec 9, 2015",9:30p,Box Score,@,Dallas Mavericks,W,,98,95,14,9,W 2,ATL,2016
23,24,"Thu, Dec 10, 2015",8:00p,Box Score,@,Oklahoma City Thunder,L,,94,107,14,10,L 1,ATL,2016
24,25,"Sat, Dec 12, 2015",8:00p,Box Score,,San Antonio Spurs,L,,78,103,14,11,L 2,ATL,2016
25,26,"Mon, Dec 14, 2015",8:00p,Box Score,,Miami Heat,L,,88,100,14,12,L 3,ATL,2016
26,27,"Wed, Dec 16, 2015",8:00p,Box Score,,Philadelphia 76ers,W,,127,106,15,12,W 1,ATL,2016
27,28,"Fri, Dec 18, 2015",7:30p,Box Score,@,Boston Celtics,W,,109,101,16,12,W 2,ATL,2016
28,29,"Sun, Dec 20, 2015",6:00p,Box Score,@,Orlando Magic,W,,103,100,17,12,W 3,ATL,2016
29,30,"Mon, Dec 21, 2015",8:00p,Box Score,,Portland Trail Blazers,W,,106,97,18,12,W 4,ATL,2016
30,31,"Wed, Dec 23, 2015",8:00p,Box Score,,Detroit Pistons,W,,107,100,19,12,W 5,ATL,2016
31,32,"Sat, Dec 26, 2015",7:30p,Box Score,,New York Knicks,W,,117,98,20,12,W 6,ATL,2016
32,33,"Mon, Dec 28, 2015",7:00p,Box Score,@,Indiana Pacers,L,,87,93,20,13,L 1,ATL,2016
33,34,"Tue, Dec 29, 2015",8:00p,Box Score,@,Houston Rockets,W,,121,115,21,13,W 1,ATL,2016
34,35,"Sun, Jan 3, 2016",3:30p,Box Score,@,New York Knicks,L,,97,111,21,14,L 1,ATL,2016
35,36,"Tue, Jan 5, 2016",8:00p,Box Score,,New York Knicks,L,,101,107,21,15,L 2,ATL,2016
36,37,"Thu, Jan 7, 2016",7:00p,Box Score,@,Philadelphia 76ers,W,,126,98,22,15,W 1,ATL,2016
37,38,"Sat, Jan 9, 2016",5:00p,Box Score,,Chicago Bulls,W,,120,105,23,15,W 2,ATL,2016
38,39,"Wed, Jan 13, 2016",7:00p,Box Score,@,Charlotte Hornets,L,,84,107,23,16,L 1,ATL,2016
39,40,"Fri, Jan 15, 2016",8:00p,Box Score,@,Milwaukee Bucks,L,OT,101,108,23,17,L 2,ATL,2016
40,41,"Sat, Jan 16, 2016",7:30p,Box Score,,Brooklyn Nets,W,,114,86,24,17,W 1,ATL,2016
41,42,"Mon, Jan 18, 2016",5:00p,Box Score,,Orlando Magic,W,,98,81,25,17,W 2,ATL,2016
42,43,"Wed, Jan 20, 2016",10:30p,Box Score,@,Portland Trail Blazers,W,,104,98,26,17,W 3,ATL,2016
43,44,"Thu, Jan 21, 2016",10:00p,Box Score,@,Sacramento Kings,L,,88,91,26,18,L 1,ATL,2016
44,45,"Sat, Jan 23, 2016",9:00p,Box Score,@,Phoenix Suns,L,,95,98,26,19,L 2,ATL,2016
45,46,"Mon, Jan 25, 2016",9:00p,Box Score,@,Denver Nuggets,W,,119,105,27,19,W 1,ATL,2016
46,47,"Wed, Jan 27, 2016",8:00p,Box Score,,Los Angeles Clippers,L,,83,85,27,20,L 1,ATL,2016
47,48,"Thu, Jan 28, 2016",7:00p,Box Score,@,Indiana Pacers,L,,92,111,27,21,L 2,ATL,2016
48,49,"Sun, Jan 31, 2016",6:00p,Box Score,@,Miami Heat,L,,87,105,27,22,L 3,ATL,2016
49,50,"Mon, Feb 1, 2016",8:00p,Box Score,,Dallas Mavericks,W,,112,97,28,22,W 1,ATL,2016
50,51,"Wed, Feb 3, 2016",7:00p,Box Score,@,Philadelphia 76ers,W,,124,86,29,22,W 2,ATL,2016
51,52,"Fri, Feb 5, 2016",7:00p,Box Score,,Indiana Pacers,W,,102,96,30,22,W 3,ATL,2016
52,53,"Sun, Feb 7, 2016",1:00p,Box Score,@,Orlando Magic,L,,94,96,30,23,L 1,ATL,2016
53,54,"Mon, Feb 8, 2016",8:00p,Box Score,,Orlando Magic,L,OT,110,117,30,24,L 2,ATL,2016
54,55,"Wed, Feb 10, 2016",8:00p,Box Score,@,Chicago Bulls,W,,113,90,31,24,W 1,ATL,2016
55,56,"Fri, Feb 19, 2016",8:00p,Box Score,,Miami Heat,L,,111,115,31,25,L 1,ATL,2016
56,57,"Sat, Feb 20, 2016",7:30p,Box Score,,Milwaukee Bucks,L,2OT,109,117,31,26,L 2,ATL,2016
57,58,"Mon, Feb 22, 2016",8:00p,Box Score,,Golden State Warriors,L,,92,102,31,27,L 3,ATL,2016
58,59,"Fri, Feb 26, 2016",8:00p,Box Score,,Chicago Bulls,W,,103,88,32,27,W 1,ATL,2016
59,60,"Sun, Feb 28, 2016",3:30p,Box Score,,Charlotte Hornets,W,,87,76,33,27,W 2,ATL,2016
60,61,"Tue, Mar 1, 2016",10:30p,Box Score,@,Golden State Warriors,L,OT,105,109,33,28,L 1,ATL,2016
61,62,"Fri, Mar 4, 2016",10:30p,Box Score,@,Los Angeles Lakers,W,,106,77,34,28,W 1,ATL,2016
62,63,"Sat, Mar 5, 2016",10:30p,Box Score,@,Los Angeles Clippers,W,,107,97,35,28,W 2,ATL,2016
63,64,"Tue, Mar 8, 2016",9:00p,Box Score,@,Utah Jazz,W,,91,84,36,28,W 3,ATL,2016
64,65,"Thu, Mar 10, 2016",7:30p,Box Score,@,Toronto Raptors,L,,96,104,36,29,L 1,ATL,2016
65,66,"Sat, Mar 12, 2016",7:30p,Box Score,,Memphis Grizzlies,W,,95,83,37,29,W 1,ATL,2016
66,67,"Sun, Mar 13, 2016",6:00p,Box Score,,Indiana Pacers,W,,104,75,38,29,W 2,ATL,2016
67,68,"Wed, Mar 16, 2016",7:30p,Box Score,@,Detroit Pistons,W,,118,114,39,29,W 3,ATL,2016
68,69,"Thu, Mar 17, 2016",8:00p,Box Score,,Denver Nuggets,W,,116,98,40,29,W 4,ATL,2016
69,70,"Sat, Mar 19, 2016",7:30p,Box Score,,Houston Rockets,W,,109,97,41,29,W 5,ATL,2016
70,71,"Mon, Mar 21, 2016",8:00p,Box Score,,Washington Wizards,L,,102,117,41,30,L 1,ATL,2016
71,72,"Wed, Mar 23, 2016",7:00p,Box Score,@,Washington Wizards,W,,122,101,42,30,W 1,ATL,2016
72,73,"Fri, Mar 25, 2016",8:00p,Box Score,,Milwaukee Bucks,W,,101,90,43,30,W 2,ATL,2016
73,74,"Sat, Mar 26, 2016",7:30p,Box Score,@,Detroit Pistons,W,,112,95,44,30,W 3,ATL,2016
74,75,"Mon, Mar 28, 2016",8:00p,Box Score,@,Chicago Bulls,W,,102,100,45,30,W 4,ATL,2016
75,76,"Wed, Mar 30, 2016",7:30p,Box Score,@,Toronto Raptors,L,,97,105,45,31,L 1,ATL,2016
76,77,"Fri, Apr 1, 2016",8:00p,Box Score,,Cleveland Cavaliers,L,OT,108,110,45,32,L 2,ATL,2016
77,78,"Tue, Apr 5, 2016",8:00p,Box Score,,Phoenix Suns,W,,103,90,46,32,W 1,ATL,2016
78,79,"Thu, Apr 7, 2016",8:00p,Box Score,,Toronto Raptors,W,,95,87,47,32,W 2,ATL,2016
79,80,"Sat, Apr 9, 2016",7:30p,Box Score,,Boston Celtics,W,,118,107,48,32,W 3,ATL,2016
80,81,"Mon, Apr 11, 2016",7:00p,Box Score,@,Cleveland Cavaliers,L,,94,109,48,33,L 1,ATL,2016
81,82,"Wed, Apr 13, 2016",8:00p,Box Score,@,Washington Wizards,L,,98,109,48,34,L 2,ATL,2016
0,1,"Thu, Oct 27, 2016",7:30p,Box Score,,Washington Wizards,W,,114,99,1,0,W 1,ATL,2017
1,2,"Sat, Oct 29, 2016",12:30p,Box Score,@,Philadelphia 76ers,W,,104,72,2,0,W 2,ATL,2017
2,3,"Mon, Oct 31, 2016",7:30p,Box Score,,Sacramento Kings,W,,106,95,3,0,W 3,ATL,2017
3,4,"Wed, Nov 2, 2016",7:30p,Box Score,,Los Angeles Lakers,L,,116,123,3,1,L 1,ATL,2017
4,5,"Fri, Nov 4, 2016",7:00p,Box Score,@,Washington Wizards,L,,92,95,3,2,L 2,ATL,2017
5,6,"Sat, Nov 5, 2016",7:30p,Box Score,,Houston Rockets,W,,112,97,4,2,W 1,ATL,2017
6,7,"Tue, Nov 8, 2016",7:00p,Box Score,@,Cleveland Cavaliers,W,,110,106,5,2,W 2,ATL,2017
7,8,"Wed, Nov 9, 2016",7:30p,Box Score,,Chicago Bulls,W,,115,107,6,2,W 3,ATL,2017
8,9,"Sat, Nov 12, 2016",7:30p,Box Score,,Philadelphia 76ers,W,,117,96,7,2,W 4,ATL,2017
9,10,"Tue, Nov 15, 2016",7:30p,Box Score,@,Miami Heat,W,,93,90,8,2,W 5,ATL,2017
10,11,"Wed, Nov 16, 2016",7:30p,Box Score,,Milwaukee Bucks,W,,107,100,9,2,W 6,ATL,2017
11,12,"Fri, Nov 18, 2016",7:00p,Box Score,@,Charlotte Hornets,L,,96,100,9,3,L 1,ATL,2017
12,13,"Sun, Nov 20, 2016",12:00p,Box Score,@,New York Knicks,L,,94,104,9,4,L 2,ATL,2017
13,14,"Tue, Nov 22, 2016",7:30p,Box Score,,New Orleans Pelicans,L,,94,112,9,5,L 3,ATL,2017
14,15,"Wed, Nov 23, 2016",7:00p,Box Score,@,Indiana Pacers,W,,96,85,10,5,W 1,ATL,2017
15,16,"Fri, Nov 25, 2016",8:00p,Box Score,@,Utah Jazz,L,,68,95,10,6,L 1,ATL,2017
16,17,"Sun, Nov 27, 2016",9:30p,Box Score,@,Los Angeles Lakers,L,,94,109,10,7,L 2,ATL,2017
17,18,"Mon, Nov 28, 2016",10:30p,Box Score,@,Golden State Warriors,L,,100,105,10,8,L 3,ATL,2017
18,19,"Wed, Nov 30, 2016",9:00p,Box Score,@,Phoenix Suns,L,,107,109,10,9,L 4,ATL,2017
19,20,"Fri, Dec 2, 2016",8:00p,Box Score,,Detroit Pistons,L,,85,121,10,10,L 5,ATL,2017
20,21,"Sat, Dec 3, 2016",7:30p,Box Score,@,Toronto Raptors,L,,84,128,10,11,L 6,ATL,2017
21,22,"Mon, Dec 5, 2016",7:30p,Box Score,,Oklahoma City Thunder,L,,99,102,10,12,L 7,ATL,2017
22,23,"Wed, Dec 7, 2016",7:30p,Box Score,,Miami Heat,W,,103,95,11,12,W 1,ATL,2017
23,24,"Fri, Dec 9, 2016",8:00p,Box Score,@,Milwaukee Bucks,W,,114,110,12,12,W 2,ATL,2017
24,25,"Tue, Dec 13, 2016",7:30p,Box Score,,Orlando Magic,L,,120,131,12,13,L 1,ATL,2017
25,26,"Fri, Dec 16, 2016",7:30p,Box Score,@,Toronto Raptors,W,,125,121,13,13,W 1,ATL,2017
26,27,"Sat, Dec 17, 2016",7:30p,Box Score,,Charlotte Hornets,L,,99,107,13,14,L 1,ATL,2017
27,28,"Mon, Dec 19, 2016",8:00p,Box Score,@,Oklahoma City Thunder,W,,110,108,14,14,W 1,ATL,2017
28,29,"Wed, Dec 21, 2016",7:30p,Box Score,,Minnesota Timberwolves,L,,84,92,14,15,L 1,ATL,2017
29,30,"Fri, Dec 23, 2016",9:00p,Box Score,@,Denver Nuggets,W,,109,108,15,15,W 1,ATL,2017
30,31,"Mon, Dec 26, 2016",8:00p,Box Score,@,Minnesota Timberwolves,L,,90,104,15,16,L 1,ATL,2017
31,32,"Wed, Dec 28, 2016",7:30p,Box Score,,New York Knicks,W,OT,102,98,16,16,W 1,ATL,2017
32,33,"Fri, Dec 30, 2016",8:00p,Box Score,,Detroit Pistons,W,,105,98,17,16,W 2,ATL,2017
33,34,"Sun, Jan 1, 2017",6:00p,Box Score,,San Antonio Spurs,W,OT,114,112,18,16,W 3,ATL,2017
34,35,"Wed, Jan 4, 2017",7:00p,Box Score,@,Orlando Magic,W,,111,92,19,16,W 4,ATL,2017
35,36,"Thu, Jan 5, 2017",8:00p,Box Score,@,New Orleans Pelicans,W,,99,94,20,16,W 5,ATL,2017
36,37,"Sat, Jan 7, 2017",8:30p,Box Score,@,Dallas Mavericks,W,,97,82,21,16,W 6,ATL,2017
37,38,"Tue, Jan 10, 2017",7:30p,Box Score,@,Brooklyn Nets,W,,117,97,22,16,W 7,ATL,2017
38,39,"Fri, Jan 13, 2017",8:00p,Box Score,,Boston Celtics,L,,101,103,22,17,L 1,ATL,2017
39,40,"Sun, Jan 15, 2017",3:00p,Box Score,,Milwaukee Bucks,W,,111,98,23,17,W 1,ATL,2017
40,41,"Mon, Jan 16, 2017",1:00p,Box Score,@,New York Knicks,W,,108,107,24,17,W 2,ATL,2017
41,42,"Wed, Jan 18, 2017",8:00p,Box Score,@,Detroit Pistons,L,,95,118,24,18,L 1,ATL,2017
42,43,"Fri, Jan 20, 2017",8:00p,Box Score,,Chicago Bulls,W,,102,93,25,18,W 1,ATL,2017
43,44,"Sat, Jan 21, 2017",7:00p,Box Score,,Philadelphia 76ers,W,,110,93,26,18,W 2,ATL,2017
44,45,"Mon, Jan 23, 2017",7:30p,Box Score,,Los Angeles Clippers,L,,105,115,26,19,L 1,ATL,2017
45,46,"Wed, Jan 25, 2017",8:00p,Box Score,@,Chicago Bulls,W,,119,114,27,19,W 1,ATL,2017
46,47,"Fri, Jan 27, 2017",8:00p,Box Score,,Washington Wizards,L,,86,112,27,20,L 1,ATL,2017
47,48,"Sun, Jan 29, 2017",3:00p,Box Score,,New York Knicks,W,4OT,142,139,28,20,W 1,ATL,2017
48,49,"Wed, Feb 1, 2017",7:30p,Box Score,@,Miami Heat,L,,93,116,28,21,L 1,ATL,2017
49,50,"Thu, Feb 2, 2017",8:00p,Box Score,@,Houston Rockets,W,,113,108,29,21,W 1,ATL,2017
50,51,"Sat, Feb 4, 2017",7:00p,Box Score,,Orlando Magic,W,,113,86,30,21,W 2,ATL,2017
51,52,"Mon, Feb 6, 2017",7:30p,Box Score,,Utah Jazz,L,,95,120,30,22,L 1,ATL,2017
52,53,"Wed, Feb 8, 2017",7:30p,Box Score,,Denver Nuggets,W,,117,106,31,22,W 1,ATL,2017
53,54,"Fri, Feb 10, 2017",10:30p,Box Score,@,Sacramento Kings,L,,107,108,31,23,L 1,ATL,2017
54,55,"Mon, Feb 13, 2017",10:30p,Box Score,@,Portland Trail Blazers,W,OT,109,104,32,23,W 1,ATL,2017
55,56,"Wed, Feb 15, 2017",10:30p,Box Score,@,Los Angeles Clippers,L,,84,99,32,24,L 1,ATL,2017
56,57,"Fri, Feb 24, 2017",8:00p,Box Score,,Miami Heat,L,,90,108,32,25,L 2,ATL,2017
57,58,"Sat, Feb 25, 2017",7:00p,Box Score,@,Orlando Magic,L,,86,105,32,26,L 3,ATL,2017
58,59,"Mon, Feb 27, 2017",7:30p,Box Score,@,Boston Celtics,W,,114,98,33,26,W 1,ATL,2017
59,60,"Wed, Mar 1, 2017",7:30p,Box Score,,Dallas Mavericks,W,,100,95,34,26,W 2,ATL,2017
60,61,"Fri, Mar 3, 2017",7:00p,Box Score,,Cleveland Cavaliers,L,,130,135,34,27,L 1,ATL,2017
61,62,"Sun, Mar 5, 2017",1:00p,Box Score,,Indiana Pacers,L,,96,97,34,28,L 2,ATL,2017
62,63,"Mon, Mar 6, 2017",7:30p,Box Score,,Golden State Warriors,L,,111,119,34,29,L 3,ATL,2017
63,64,"Wed, Mar 8, 2017",7:30p,Box Score,,Brooklyn Nets,W,,110,105,35,29,W 1,ATL,2017
64,65,"Fri, Mar 10, 2017",8:00p,Box Score,,Toronto Raptors,W,,105,99,36,29,W 2,ATL,2017
65,66,"Sat, Mar 11, 2017",9:00p,Box Score,@,Memphis Grizzlies,W,,107,90,37,29,W 3,ATL,2017
66,67,"Mon, Mar 13, 2017",8:00p,Box Score,@,San Antonio Spurs,L,,99,107,37,30,L 1,ATL,2017
67,68,"Thu, Mar 16, 2017",7:30p,Box Score,,Memphis Grizzlies,L,,91,103,37,31,L 2,ATL,2017
68,69,"Sat, Mar 18, 2017",6:00p,Box Score,,Portland Trail Blazers,L,,97,113,37,32,L 3,ATL,2017
69,70,"Mon, Mar 20, 2017",7:00p,Box Score,@,Charlotte Hornets,L,,90,105,37,33,L 4,ATL,2017
70,71,"Wed, Mar 22, 2017",8:00p,Box Score,@,Washington Wizards,L,,100,104,37,34,L 5,ATL,2017
71,72,"Fri, Mar 24, 2017",8:00p,Box Score,@,Milwaukee Bucks,L,,97,100,37,35,L 6,ATL,2017
72,73,"Sun, Mar 26, 2017",1:00p,Box Score,,Brooklyn Nets,L,,92,107,37,36,L 7,ATL,2017
73,74,"Tue, Mar 28, 2017",7:30p,Box Score,,Phoenix Suns,W,,95,91,38,36,W 1,ATL,2017
74,75,"Wed, Mar 29, 2017",7:00p,Box Score,@,Philadelphia 76ers,W,,99,92,39,36,W 2,ATL,2017
75,76,"Sat, Apr 1, 2017",5:00p,Box Score,@,Chicago Bulls,L,,104,106,39,37,L 1,ATL,2017
76,77,"Sun, Apr 2, 2017",6:00p,Box Score,@,Brooklyn Nets,L,,82,91,39,38,L 2,ATL,2017
77,78,"Thu, Apr 6, 2017",8:00p,Box Score,,Boston Celtics,W,,123,116,40,38,W 1,ATL,2017
78,79,"Fri, Apr 7, 2017",7:30p,Box Score,@,Cleveland Cavaliers,W,,114,100,41,38,W 2,ATL,2017
79,80,"Sun, Apr 9, 2017",3:30p,Box Score,,Cleveland Cavaliers,W,OT,126,125,42,38,W 3,ATL,2017
80,81,"Tue, Apr 11, 2017",7:30p,Box Score,,Charlotte Hornets,W,,103,76,43,38,W 4,ATL,2017
81,82,"Wed, Apr 12, 2017",8:00p,Box Score,@,Indiana Pacers,L,,86,104,43,39,L 1,ATL,2017
0,1,"Wed, Oct 18, 2017",8:30p,Box Score,@,Dallas Mavericks,W,,117,111,1,0,W 1,ATL,2018
1,2,"Fri, Oct 20, 2017",7:00p,Box Score,@,Charlotte Hornets,L,,91,109,1,1,L 1,ATL,2018
2,3,"Sun, Oct 22, 2017",3:30p,Box Score,@,Brooklyn Nets,L,,104,116,1,2,L 2,ATL,2018
3,4,"Mon, Oct 23, 2017",7:30p,Box Score,@,Miami Heat,L,,93,104,1,3,L 3,ATL,2018
4,5,"Thu, Oct 26, 2017",8:00p,Box Score,@,Chicago Bulls,L,,86,91,1,4,L 4,ATL,2018
5,6,"Fri, Oct 27, 2017",7:30p,Box Score,,Denver Nuggets,L,,100,105,1,5,L 5,ATL,2018
6,7,"Sun, Oct 29, 2017",3:30p,Box Score,,Milwaukee Bucks,L,,106,117,1,6,L 6,ATL,2018
7,8,"Wed, Nov 1, 2017",7:00p,Box Score,@,Philadelphia 76ers,L,,109,119,1,7,L 7,ATL,2018
8,9,"Fri, Nov 3, 2017",7:30p,Box Score,,Houston Rockets,L,,104,119,1,8,L 8,ATL,2018
9,10,"Sun, Nov 5, 2017",3:00p,Box Score,@,Cleveland Cavaliers,W,,117,115,2,8,W 1,ATL,2018
10,11,"Mon, Nov 6, 2017",7:30p,Box Score,,Boston Celtics,L,,107,110,2,9,L 1,ATL,2018
11,12,"Fri, Nov 10, 2017",7:00p,Box Score,@,Detroit Pistons,L,,104,111,2,10,L 2,ATL,2018
12,13,"Sat, Nov 11, 2017",7:00p,Box Score,@,Washington Wizards,L,,94,113,2,11,L 3,ATL,2018
13,14,"Mon, Nov 13, 2017",8:00p,Box Score,@,New Orleans Pelicans,L,,105,106,2,12,L 4,ATL,2018
14,15,"Wed, Nov 15, 2017",7:30p,Box Score,,Sacramento Kings,W,,126,80,3,12,W 1,ATL,2018
15,16,"Sat, Nov 18, 2017",7:30p,Box Score,,Boston Celtics,L,,99,110,3,13,L 1,ATL,2018
16,17,"Mon, Nov 20, 2017",8:30p,Box Score,@,San Antonio Spurs,L,,85,96,3,14,L 2,ATL,2018
17,18,"Wed, Nov 22, 2017",7:30p,Box Score,,Los Angeles Clippers,L,,103,116,3,15,L 3,ATL,2018
18,19,"Fri, Nov 24, 2017",7:30p,Box Score,,New York Knicks,W,,116,104,4,15,W 1,ATL,2018
19,20,"Sat, Nov 25, 2017",7:30p,Box Score,,Toronto Raptors,L,,78,112,4,16,L 1,ATL,2018
20,21,"Thu, Nov 30, 2017",7:30p,Box Score,,Cleveland Cavaliers,L,,114,121,4,17,L 2,ATL,2018
21,22,"Sat, Dec 2, 2017",3:00p,Box Score,@,Brooklyn Nets,W,,114,102,5,17,W 1,ATL,2018
22,23,"Mon, Dec 4, 2017",7:30p,Box Score,,Brooklyn Nets,L,,90,110,5,18,L 1,ATL,2018
23,24,"Wed, Dec 6, 2017",7:00p,Box Score,@,Orlando Magic,L,OT,106,110,5,19,L 2,ATL,2018
24,25,"Sat, Dec 9, 2017",7:30p,Box Score,,Orlando Magic,W,,117,110,6,19,W 1,ATL,2018
25,26,"Sun, Dec 10, 2017",7:30p,Box Score,@,New York Knicks,L,,107,111,6,20,L 1,ATL,2018
26,27,"Tue, Dec 12, 2017",7:00p,Box Score,@,Cleveland Cavaliers,L,,114,123,6,21,L 2,ATL,2018
27,28,"Thu, Dec 14, 2017",7:30p,Box Score,,Detroit Pistons,L,,91,105,6,22,L 3,ATL,2018
28,29,"Fri, Dec 15, 2017",8:00p,Box Score,@,Memphis Grizzlies,L,,94,96,6,23,L 4,ATL,2018
29,30,"Mon, Dec 18, 2017",7:30p,Box Score,,Miami Heat,W,,110,104,7,23,W 1,ATL,2018
30,31,"Wed, Dec 20, 2017",7:30p,Box Score,,Indiana Pacers,L,,95,105,7,24,L 1,ATL,2018
31,32,"Fri, Dec 22, 2017",8:00p,Box Score,@,Oklahoma City Thunder,L,,117,120,7,25,L 2,ATL,2018
32,33,"Sat, Dec 23, 2017",7:30p,Box Score,,Dallas Mavericks,W,,112,107,8,25,W 1,ATL,2018
33,34,"Wed, Dec 27, 2017",7:30p,Box Score,,Washington Wizards,W,,113,99,9,25,W 2,ATL,2018
34,35,"Fri, Dec 29, 2017",7:30p,Box Score,@,Toronto Raptors,L,,98,111,9,26,L 1,ATL,2018
35,36,"Sat, Dec 30, 2017",7:30p,Box Score,,Portland Trail Blazers,W,,104,89,10,26,W 1,ATL,2018
36,37,"Tue, Jan 2, 2018",9:00p,Box Score,@,Phoenix Suns,L,,103,104,10,27,L 1,ATL,2018
37,38,"Fri, Jan 5, 2018",10:00p,Box Score,@,Portland Trail Blazers,L,,89,110,10,28,L 2,ATL,2018
38,39,"Sun, Jan 7, 2018",9:30p,Box Score,@,Los Angeles Lakers,L,,113,132,10,29,L 3,ATL,2018
39,40,"Mon, Jan 8, 2018",10:30p,Box Score,@,Los Angeles Clippers,L,,107,108,10,30,L 4,ATL,2018
40,41,"Wed, Jan 10, 2018",9:00p,Box Score,@,Denver Nuggets,W,,110,97,11,30,W 1,ATL,2018
41,42,"Fri, Jan 12, 2018",7:30p,Box Score,,Brooklyn Nets,L,,105,110,11,31,L 1,ATL,2018
42,43,"Mon, Jan 15, 2018",3:00p,Box Score,,San Antonio Spurs,W,,102,99,12,31,W 1,ATL,2018
43,44,"Wed, Jan 17, 2018",7:30p,Box Score,,New Orleans Pelicans,W,,94,93,13,31,W 2,ATL,2018
44,45,"Sat, Jan 20, 2018",5:00p,Box Score,,Chicago Bulls,L,,97,113,13,32,L 1,ATL,2018
45,46,"Mon, Jan 22, 2018",7:30p,Box Score,,Utah Jazz,W,,104,90,14,32,W 1,ATL,2018
46,47,"Wed, Jan 24, 2018",7:30p,Box Score,,Toronto Raptors,L,,93,108,14,33,L 1,ATL,2018
47,48,"Fri, Jan 26, 2018",7:00p,Box Score,@,Charlotte Hornets,L,,110,121,14,34,L 2,ATL,2018
48,49,"Sat, Jan 27, 2018",7:30p,Box Score,,Washington Wizards,L,,104,129,14,35,L 3,ATL,2018
49,50,"Mon, Jan 29, 2018",7:30p,Box Score,,Minnesota Timberwolves,W,,105,100,15,35,W 1,ATL,2018
50,51,"Wed, Jan 31, 2018",7:30p,Box Score,,Charlotte Hornets,L,,110,123,15,36,L 1,ATL,2018
51,52,"Fri, Feb 2, 2018",7:30p,Box Score,@,Boston Celtics,L,,110,119,15,37,L 2,ATL,2018
52,53,"Sun, Feb 4, 2018",12:00p,Box Score,@,New York Knicks,W,,99,96,16,37,W 1,ATL,2018
53,54,"Tue, Feb 6, 2018",7:30p,Box Score,,Memphis Grizzlies,W,,108,82,17,37,W 2,ATL,2018
54,55,"Thu, Feb 8, 2018",7:00p,Box Score,@,Orlando Magic,L,,98,100,17,38,L 1,ATL,2018
55,56,"Fri, Feb 9, 2018",7:30p,Box Score,,Cleveland Cavaliers,L,,107,123,17,39,L 2,ATL,2018
56,57,"Sun, Feb 11, 2018",3:30p,Box Score,,Detroit Pistons,W,,118,115,18,39,W 1,ATL,2018
57,58,"Tue, Feb 13, 2018",8:00p,Box Score,@,Milwaukee Bucks,L,,92,97,18,40,L 1,ATL,2018
58,59,"Wed, Feb 14, 2018",7:00p,Box Score,@,Detroit Pistons,L,,98,104,18,41,L 2,ATL,2018
59,60,"Fri, Feb 23, 2018",7:00p,Box Score,@,Indiana Pacers,L,,93,116,18,42,L 3,ATL,2018
